classname;" ""numberOfBugs""";" ""CvsEntropy"" ";" ""CvsWEntropy"" ";" ""CvsLinEntropy"" ";" ""CvsLogEntropy"" ";" ""CvsExpEntropy"""
org::eclipse::jdt::internal::core::search::matching::ConstructorLocator;1;151.101; 0.0715118 ; 0.0222834 ; 0.357444 ; 0.00316702
org::eclipse::jdt::internal::compiler::parser::RecoveredUnit;0;102.014; 0.0294259 ; 0.168149 ;821.769; 0.278803
org::eclipse::jdt::internal::core::dom::rewrite::LineInformation;0;236.846; 0.00164367 ; 0.00424624 ; 0.058891 ;9.98E+01
org::eclipse::jdt::internal::core::TypeParameterElementInfo;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::eval::CodeSnippetMessageSend;2;169.073; 0.0231798 ; 0.0377267 ; 0.434154 ; 0.0600236
org::eclipse::jdt::core::dom::EnumDeclaration;0;684.846; 0.0039412 ; 0.151789 ;810.896; 0.231177
org::eclipse::jdt::core::search::LocalVariableDeclarationMatch;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::codeassist::complete::CompletionOnSingleTypeReference;0; 12.52 ; 0.0104265 ; 0.15457 ;823.554; 0.22626
org::eclipse::jdt::core::dom::PostfixExpression;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::internal::core::search::indexing::IndexRequest;0;691.346; 0.00445836 ; 0.126527 ;806.267; 0.167892
org::eclipse::jdt::internal::core::util::AnnotationDefaultAttribute;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::core::dom::TryStatement;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::core::dom::VariableDeclaration;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodTypeParameter;0;78.386; 0.00317177 ; 0.0117569 ; 0.186314 ; 0.00155339
org::eclipse::jdt::internal::compiler::ast::MarkerAnnotation;0;745.849; 0.00544107 ; 0.142888 ;810.783; 0.218801
org::eclipse::jdt::internal::compiler::ast::FloatLiteral;0;715.525; 0.00405507 ; 0.0122526 ; 0.175244 ; 0.00382225
org::eclipse::jdt::internal::compiler::ast::WhileStatement;0;131.474; 0.0101474 ; 0.0202653 ; 0.314168 ; 0.00408813
org::eclipse::jdt::internal::formatter::DefaultCodeFormatterOptions;3;248.471; 0.131827 ; 0.0835501 ; 0.697371 ; 0.177968
org::eclipse::jdt::internal::core::ClasspathValidation;3;0;0;0;0;0
org::eclipse::jdt::internal::compiler::lookup::ProblemPackageBinding;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::search::JavaSearchDocument;0;850.582; 0.00394471 ; 0.0112045 ; 0.196128 ;8.09E+01
org::eclipse::jdt::core::dom::Statement;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::ast::Statement;0;126.182; 0.00885143 ; 0.017605 ; 0.294949 ; 0.00151076
org::eclipse::jdt::core::dom::ImportDeclaration;0;843.242; 0.00830014 ; 0.153579 ;814.429; 0.231202
org::eclipse::jdt::internal::codeassist::select::SelectionOnFieldReference;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::PackageDeclaration;0;873.596; 0.0045169 ; 0.134499 ;81.114; 0.198199
org::eclipse::jdt::core::dom::CompilationUnitResolver;0;291.299; 0.13892 ; 0.209644 ;870.001; 0.347551
org::eclipse::jdt::internal::core::TypeVector;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::ast::FalseLiteral;0;72.883; 0.00336903 ; 0.0120812 ; 0.177191 ; 0.00316137
org::eclipse::jdt::internal::core::SourceRefElementInfo;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::SourceFieldElementInfo;0;812.446; 0.00451604 ; 0.128171 ;809.027; 0.169516
org::eclipse::jdt::internal::compiler::ast::ConditionalExpression;0;208.651; 0.118675 ; 0.0334912 ; 0.502158 ; 0.0118813
org::eclipse::jdt::internal::core::JarEntryFile;0;701.353; 0.0275659 ; 0.013852 ; 0.177418 ; 0.00898451
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberAccess;0;927.985; 0.010059 ; 0.138828 ;813.864; 0.20214
org::eclipse::jdt::internal::core::util::ExceptionTableEntry;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::ast::FieldReference;6;273.399; 0.354056 ; 0.197558 ;864.097; 0.311388
org::eclipse::jdt::internal::core::CommitWorkingCopyOperation;0;960.428; 0.00430976 ; 0.0146864 ; 0.22883 ; 0.00333713
org::eclipse::jdt::internal::compiler::parser::RecoveredField;0;104.389; 0.0293428 ; 0.134078 ;814.818; 0.186232
org::eclipse::jdt::internal::core::UserLibraryManager;0;12.236; 0.161406 ; 0.0275831 ; 0.317055 ; 0.037134
org::eclipse::jdt::internal::core::SourceTypeElementInfo;0;118.043; 0.014835 ; 0.133889 ;817.852; 0.170366
org::eclipse::jdt::internal::compiler::ast::JavadocAllocationExpression;0;21.221; 0.0350639 ; 0.153886 ;841.586; 0.199331
org::eclipse::jdt::internal::compiler::classfmt::MethodInfo;0;18.395; 0.0908168 ; 0.0363041 ; 0.463041 ; 0.0318221
org::eclipse::jdt::core::JavaCore;5;455.046;145.113; 0.261427 ;915.563; 0.522379
org::eclipse::jdt::internal::core::util::CodeAttribute;1;101.694; 0.00288715 ; 0.0202864 ; 0.256506 ; 0.0191937
org::eclipse::jdt::internal::core::eval::GlobalVariableWrapper;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::classfmt::ClassFileStruct;0;893.874; 0.0230851 ; 0.0148352 ; 0.216678 ; 0.00634486
org::eclipse::jdt::core::dom::TextElement;0;104.485; 0.00789354 ; 0.168866 ;822.473; 0.279514
org::eclipse::jdt::internal::codeassist::select::SelectionJavadocParser;0;101.241; 0.00498852 ; 0.021925 ; 0.259327 ; 0.0292602
org::eclipse::jdt::internal::core::BinaryField;2;157.259; 0.018149 ; 0.137737 ;826.406; 0.169655
org::eclipse::jdt::internal::core::util::CommentRecorderParser;1;151.859; 0.0176031 ; 0.0302703 ; 0.381131 ; 0.034904
org::eclipse::jdt::core::dom::DocCommentParser;1;166.898; 0.0455188 ; 0.0472177 ; 0.440872 ; 0.079908
org::eclipse::jdt::internal::compiler::ast::MemberValuePair;0;198.678; 0.0534456 ; 0.159214 ;840.407; 0.217391
org::eclipse::jdt::internal::compiler::impl::Constant;0;102.807; 0.162745 ; 0.0144449 ; 0.240687 ; 0.00132183
org::eclipse::jdt::core::dom::MethodInvocation;0;863.149; 0.0202521 ; 0.157177 ;81.599; 0.238388
org::eclipse::jdt::internal::core::util::StackMapTableAttribute;0;264.277; 0.00814371 ; 0.00397758 ; 0.0629748 ;3.82E+01
org::eclipse::jdt::internal::core::PackageFragment;0;196.881; 0.0334197 ; 0.158057 ;839.314; 0.224164
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedTypeReference;0;670.304; 0.00813088 ; 0.152618 ;810.942; 0.231938
org::eclipse::jdt::internal::core::search::JavaSearchTypeNameMatch;0;0;0;0;0;0
org::eclipse::jdt::internal::core::search::indexing::IndexManager;3;264.736; 0.144784 ; 0.168102 ;855.626; 0.215659
org::eclipse::jdt::internal::core::JarPackageFragment;0;116.504; 0.0409616 ; 0.157821 ;822.786; 0.243403
org::eclipse::jdt::internal::codeassist::impl::AssistImportDeclaration;0;0;0;0;0;0
org::eclipse::jdt::internal::compiler::ast::IntLiteral;0;98.326; 0.00406867 ; 0.0159472 ; 0.23795 ; 0.00356631
org::eclipse::jdt::internal::compiler::parser::Parser;4;433.291;110.064; 0.188191 ;132.835; 0.388753
org::eclipse::jdt::internal::core::builder::State;1;188.534; 0.0574377 ; 0.15624 ;837.449; 0.224009
org::eclipse::jdt::internal::eval::CodeSnippetEvaluator;0;815.196; 0.0055026 ; 0.0121476 ; 0.193382 ; 0.00171732
org::eclipse::jdt::core::dom::TypeDeclarationStatement;0;921.914; 0.0169777 ; 0.155078 ;816.436; 0.23138
org::eclipse::jdt::internal::compiler::batch::ClasspathJar;1;159.456; 0.0854353 ; 0.0529245 ; 0.447559 ; 0.12159
org::eclipse::jdt::internal::core::search::matching::JavaSearchNameEnvironment;0;103.262; 0.00804469 ; 0.137865 ;815.305; 0.198979
org::eclipse::jdt::internal::eval::InstallException;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::search::HierarchyScope;0;118.899; 0.0126194 ; 0.150196 ;821.981; 0.233114
org::eclipse::jdt::core::search::TypeNameMatch;0;579.221; 0.0489282 ; 0.0164667 ; 0.162436 ; 0.0201695
org::eclipse::jdt::internal::core::SearchableEnvironmentRequestor;0;827.771; 0.00769731 ; 0.0102336 ; 0.188364 ;3.18E+01
org::eclipse::jdt::internal::compiler::batch::CompilationUnit;0;568.889; 0.00759409 ; 0.00917087 ; 0.137409 ; 0.00200423
org::eclipse::jdt::internal::core::dom::NaiveASTFlattener;0;0;0;0;0;0
org::eclipse::jdt::internal::compiler::lookup::MethodVerifier15;11;411.012; 0.502679 ; 0.264004 ;90.788; 0.466338
org::eclipse::jdt::internal::compiler::parser::RecoveryScannerData;0;127.976; 0.00102598 ; 0.00204863 ; 0.0309505 ;2.74E+01
org::eclipse::jdt::internal::core::search::matching::InternalSearchPattern;1;952.687; 0.0176515 ; 0.125977 ;811.153; 0.153065
org::eclipse::jdt::internal::formatter::DefaultCodeFormatter;0;260.554; 0.237265 ; 0.222215 ;866.831; 0.403815
org::eclipse::jdt::core::dom::MemberValuePair;0;803.932; 0.00565482 ; 0.153961 ;813.872; 0.231673
org::eclipse::jdt::internal::codeassist::complete::CompletionOnImportReference;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::UserLibrary;0;164.146; 0.0231139 ; 0.143907 ;829.439; 0.189304
org::eclipse::jdt::internal::compiler::ast::BinaryExpression;0;198.456; 0.409688 ; 0.146852 ;83.719; 0.175875
org::eclipse::jdt::internal::core::builder::ClasspathLocation;0;756.137; 0.00447013 ; 0.0105395 ; 0.176547 ; 0.00115525
org::eclipse::jdt::internal::core::ResolvedSourceType;0;959.103; 0.007576 ; 0.139308 ;814.107; 0.206304
org::eclipse::jdt::internal::core::DiscardWorkingCopyOperation;0;525.685; 0.00240096 ; 0.00790131 ; 0.125004 ; 0.0010311
org::eclipse::jdt::core::dom::ChildPropertyDescriptor;0;670.304; 0.00381663 ; 0.152618 ;810.942; 0.231938
org::eclipse::jdt::internal::codeassist::impl::AssistOptions;0;141.631; 0.0206602 ; 0.0232665 ; 0.34242 ; 0.00953767
org::eclipse::jdt::internal::compiler::lookup::WildcardBinding;2;27.658; 0.176695 ; 0.18113 ;861.211; 0.267068
org::eclipse::jdt::internal::compiler::ast::ArrayAllocationExpression;0;913.341; 0.0241289 ; 0.137633 ;813.196; 0.20024
org::eclipse::jdt::internal::core::search::matching::SecondaryTypeDeclarationPattern;1;0;0;0;0;0
org::eclipse::jdt::core::dom::EnhancedForStatement;0;684.846; 0.00470788 ; 0.151789 ;810.896; 0.231177
org::eclipse::jdt::internal::core::JavaElementRequestor;0;51.154; 0.00327472 ; 0.00769445 ; 0.121597 ; 0.00113041
org::eclipse::jdt::internal::compiler::lookup::Scope;11;487.643;102.462; 0.29613 ;930.758; 0.562141
org::eclipse::jdt::core::dom::BindingComparator;0;183.087; 0.0566829 ; 0.14051 ;83.227; 0.165048
org::eclipse::jdt::internal::formatter::AbortFormatting;0;170.656; 0.0017135 ; 0.00197306 ; 0.038262 ;3.31E+00
org::eclipse::jdt::internal::core::util::ResourceCompilationUnit;0;52.415; 0.00259933 ; 0.0092443 ; 0.129752 ; 0.00213974
org::eclipse::jdt::internal::core::CompilationUnitProblemFinder;0;184.584; 0.0435567 ; 0.148013 ;834.492; 0.192392
org::eclipse::jdt::internal::compiler::ast::PostfixExpression;0;39.771; 0.0072741 ; 0.00585268 ; 0.0940532 ;7.57E+01
org::eclipse::jdt::internal::compiler::problem::ProblemReporter;11;437.616;105.979; 0.250347 ;910.871; 0.454513
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword1;0;693.237; 0.0037492 ; 0.00985736 ; 0.162632 ; 0.00115402
org::eclipse::jdt::internal::compiler::lookup::ClassScope;2;419.795; 0.252129 ; 0.260381 ;909.051; 0.468793
org::eclipse::jdt::internal::core::search::PathCollector;0;637.753; 0.00294892 ; 0.00918829 ; 0.150044 ; 0.0011603
org::eclipse::jdt::internal::compiler::ast::BranchStatement;0; 11.17 ; 0.0142683 ; 0.0238635 ; 0.287591 ; 0.0219418
org::eclipse::jdt::internal::codeassist::complete::CompletionJavadoc;0;50.061; 0.00565657 ; 0.00791127 ; 0.120669 ; 0.00103807
org::eclipse::jdt::internal::formatter::Scribe;11;361.202; 0.931112 ; 0.266099 ;897.466; 0.528753
org::eclipse::jdt::internal::core::MemberElementInfo;0;519.438; 0.00227408 ; 0.00784493 ; 0.123602 ; 0.00115776
org::eclipse::jdt::internal::codeassist::impl::AssistPackageDeclaration;0;0;0;0;0;0
org::eclipse::jdt::core::search::SearchParticipant;0;136.626; 0.0117541 ; 0.147282 ;824.562; 0.214025
org::eclipse::jdt::internal::compiler::problem::AbortType;0;408.525; 0.00155648 ; 0.00599796 ; 0.0965694 ;7.52E+01
org::eclipse::jdt::internal::compiler::parser::RecoveredAnnotation;0;129.357; 0.0260942 ; 0.0546777 ; 0.153793 ; 0.11188
org::eclipse::jdt::internal::core::util::LocalVariableTableEntry;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::codegen::LongCache;0;57.915; 0.0203856 ; 0.00816524 ; 0.135701 ;7.54E+01
org::eclipse::jdt::internal::core::search::matching::MatchingNodeSet;0;933.444; 0.00974873 ; 0.0144432 ; 0.223337 ; 0.00263537
org::eclipse::jdt::internal::core::search::indexing::SourceIndexerRequestor;0;205.292; 0.0303054 ; 0.196192 ;849.681; 0.364023
org::eclipse::jdt::internal::compiler::ast::QualifiedNameReference;8;344.998; 0.385448 ; 0.235954 ;88.816; 0.428415
org::eclipse::jdt::internal::compiler::classfmt::InnerClassInfo;0;397.098; 0.00199948 ; 0.00571821 ; 0.0934537 ;6.44E+01
org::eclipse::jdt::internal::codeassist::select::SelectionOnParameterizedQualifiedTypeReference;0;921.398; 0.00511252 ; 0.0134788 ; 0.217711 ; 0.00160521
org::eclipse::jdt::internal::core::search::matching::LocalVariablePattern;0;113.437; 0.0095041 ; 0.150272 ;82.043; 0.242083
org::eclipse::jdt::internal::compiler::codegen::CodeStream;3;396.428; 0.578238 ; 0.107953 ;106.901; 0.198825
org::eclipse::jdt::core::dom::StringLiteral;2;114.275; 0.00559112 ; 0.15878 ;821.821; 0.232254
org::eclipse::jdt::internal::core::MovePackageFragmentRootOperation;0;831.142; 0.00655604 ; 0.139823 ;812.101; 0.211222
org::eclipse::jdt::internal::compiler::codegen::StackMapFrameCodeStream;5;149.141; 0.629008 ; 0.0431816 ; 0.415469 ; 0.0744932
org::eclipse::jdt::internal::formatter::align::Alignment;0;106.845; 0.00751601 ; 0.016969 ; 0.25586 ; 0.00727343
org::eclipse::jdt::internal::codeassist::complete::InvalidCursorLocation;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::search::SubTypeSearchJob;0;10.199; 0.0065435 ; 0.142112 ;816.479; 0.207803
org::eclipse::jdt::internal::core::ChangeClasspathOperation;0;81.662; 0.0228405 ; 0.176531 ;81.991; 0.337802
org::eclipse::jdt::internal::formatter::CascadingMethodInvocationFragmentBuilder;0;271.087; 0.00196751 ; 0.00337876 ; 0.0617872 ;1.21E+01
org::eclipse::jdt::internal::core::util::ASTNodeFinder;0;519.438; 0.00227408 ; 0.00784493 ; 0.123602 ; 0.00115776
org::eclipse::jdt::internal::codeassist::complete::CompletionOnParameterizedQualifiedTypeReference;0;969.849; 0.00506387 ; 0.0172318 ; 0.239063 ; 0.00844207
org::eclipse::jdt::core::search::LocalVariableReferenceMatch;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::parser::diagnose::RangeUtil;0;770.056; 0.00688878 ; 0.0150869 ; 0.194169 ; 0.0105647
org::eclipse::jdt::internal::core::builder::QualifiedNameSet;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::codeassist::CompletionUnitStructureRequestor;0;129.357; 0.00317362 ; 0.0546777 ; 0.153793 ; 0.11188
org::eclipse::jdt::internal::core::util::InnerClassesAttribute;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::env::AccessRestriction;0;109.438; 0.0307603 ; 0.0205657 ; 0.269141 ; 0.0272313
org::eclipse::jdt::internal::eval::CodeSnippetThisReference;0;779.015; 0.00484729 ; 0.0136062 ; 0.191221 ; 0.00651685
org::eclipse::jdt::internal::core::PackageFragmentInfo;0;665.212; 0.00379057 ; 0.133409 ;806.967; 0.199073
org::eclipse::jdt::internal::compiler::lookup::ImportConflictBinding;0;126.811;2.41E+01; 0.00155567 ; 0.0288146 ;4.04E+00
org::eclipse::jdt::core::dom::PrefixExpression;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::internal::compiler::parser::diagnose::LexStream;0;841.166; 0.00790701 ; 0.0182313 ; 0.217854 ; 0.0150345
org::eclipse::jdt::internal::core::search::indexing::AbstractIndexer;0;135.885; 0.0160198 ; 0.0294107 ; 0.34655 ; 0.0424781
org::eclipse::jdt::core::dom::Annotation;0;793.371; 0.00471058 ; 0.0110481 ; 0.185294 ; 0.00103335
org::eclipse::jdt::internal::core::ClasspathAttribute;0;170.656;9.79E+01; 0.00197306 ; 0.038262 ;3.31E+00
org::eclipse::jdt::internal::compiler::lookup::BinaryLocalVariableBinding;0;0;0;0;0;0
org::eclipse::jdt::internal::codeassist::complete::CompletionNodeDetector;0;958.612; 0.0047187 ; 0.0137435 ; 0.225419 ; 0.00151101
org::eclipse::jdt::core::dom::IfStatement;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::internal::core::search::matching::QualifiedTypeDeclarationPattern;1; 15.52 ; 0.0455234 ; 0.159205 ;830.577; 0.232591
org::eclipse::jdt::internal::compiler::ast::LocalDeclaration;0;271.274; 0.0919836 ; 0.165027 ;856.079; 0.205136
org::eclipse::jdt::internal::core::hierarchy::ChangeCollector;0;842.439; 0.00668425 ; 0.0119598 ; 0.197636 ; 0.00129083
org::eclipse::jdt::internal::codeassist::select::SelectionParser;1;197.948; 0.0318723 ; 0.0400458 ; 0.498183 ; 0.0473759
org::eclipse::jdt::core::dom::Comment;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::search::matching::DeclarationOfAccessedFieldsPattern;1;782.832; 0.00500094 ; 0.129073 ;808.655; 0.175569
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocFieldReference;0;358.431; 0.00188996 ; 0.00533203 ; 0.0851721 ;4.82E+01
org::eclipse::jdt::internal::core::JavaModelCache;1;127.614; 0.0369021 ; 0.141869 ;821.487; 0.203251
org::eclipse::jdt::internal::compiler::util::HashtableOfPackage;0;39.771; 0.00256106 ; 0.00585268 ; 0.0940532 ;7.57E+01
org::eclipse::jdt::internal::core::ResolvedSourceMethod;0;952.046; 0.00642871 ; 0.136956 ;813.496; 0.199171
org::eclipse::jdt::internal::core::Member;0;116.167; 0.0175533 ; 0.025544 ; 0.298042 ; 0.0361929
org::eclipse::jdt::internal::core::SourceMapper;1;265.196; 0.231619 ; 0.230157 ;869.297; 0.4392
org::eclipse::jdt::core::util::OpcodeStringValues;1;748.389; 0.00498349 ; 0.156428 ;813.527; 0.243054
org::eclipse::jdt::core::formatter::IndentManipulation;0;649.924; 0.00527154 ; 0.153875 ;811.011; 0.234122
org::eclipse::jdt::core::dom::AbstractTypeDeclaration;0;413.346; 0.0018932 ; 0.00689741 ; 0.099748 ; 0.00438788
org::eclipse::jdt::core::dom::SwitchCase;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::internal::compiler::SourceElementParser;0;0;0;0;0;0
org::eclipse::jdt::core::dom::TypeLiteral;0;795.479; 0.00397769 ; 0.154542 ;81.394; 0.232145
org::eclipse::jdt::internal::compiler::ast::StringLiteralConcatenation;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::search::PatternSearchJob;0;129.551; 0.0104724 ; 0.152112 ;824.435; 0.240287
org::eclipse::jdt::internal::compiler::ast::DoStatement;0;142.097; 0.0607695 ; 0.0262881 ; 0.354282 ; 0.0127428
org::eclipse::jdt::internal::core::util::Util;4;428.108; 0.342725 ; 0.262973 ;911.053; 0.476621
org::eclipse::jdt::internal::codeassist::select::SelectionNodeFound;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::eval::CodeSnippetSkeleton;0;13.175; 0.0205169 ; 0.14483 ;823.097; 0.205981
org::eclipse::jdt::core::search::TypeNameRequestor;0;599.114; 0.00254374 ; 0.0157581 ; 0.161093 ; 0.0292553
org::eclipse::jdt::internal::core::search::matching::PackageReferenceLocator;3;22.443; 0.0339712 ; 0.179938 ;850.028; 0.292586
org::eclipse::jdt::internal::core::dom::rewrite::SourceModifier;0;912.702; 0.00409197 ; 0.012638 ; 0.212972 ; 0.00105833
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMessageSendName;0;207.169; 0.00335713 ; 0.13249 ;797.221; 0.189692
org::eclipse::jdt::internal::compiler::problem::ProblemHandler;0;142.655; 0.0245038 ; 0.0325488 ; 0.371416 ; 0.0421164
org::eclipse::jdt::internal::core::DeltaProcessingState;1;267.583; 0.105157 ; 0.187161 ;861.032; 0.300133
org::eclipse::jdt::internal::core::SetClasspathOperation;3;21.493; 0.125401 ; 0.184315 ;84.842; 0.295281
org::eclipse::jdt::internal::core::jdom::DOMCompilationUnit;0;833.084; 0.00295344 ; 0.0113475 ; 0.193456 ; 0.00115217
org::eclipse::jdt::internal::core::SetVariablesOperation;0;411.229; 0.00995551 ; 0.0583981 ; 0.223952 ; 0.134214
org::eclipse::jdt::core::dom::MarkerAnnotation;0;559.671; 0.00386532 ; 0.149865 ;807.898; 0.23097
org::eclipse::jdt::internal::core::search::matching::TypeDeclarationPattern;1;17.658; 0.0432393 ; 0.144149 ;832.175; 0.178031
org::eclipse::jdt::internal::codeassist::select::SelectionOnSuperReference;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::JavaModelManager;12;463.868; 0.639434 ; 0.295265 ;925.656; 0.580176
org::eclipse::jdt::internal::core::BufferManager;0;10.492; 0.0122213 ; 0.143062 ;817.295; 0.21092
org::eclipse::jdt::internal::core::search::matching::ClasspathSourceDirectory;0;107.589; 0.0184794 ; 0.0150757 ; 0.251687 ; 0.00139113
org::eclipse::jdt::internal::core::search::indexing::AddJarFileToIndex;1;132.788; 0.00995813 ; 0.137504 ;821.649; 0.179887
org::eclipse::jdt::core::dom::SingleVariableDeclaration;0;684.846; 0.00783234 ; 0.151789 ;810.896; 0.231177
org::eclipse::jdt::internal::compiler::ast::SuperReference;0;671.778; 0.00396473 ; 0.0101969 ; 0.160128 ; 0.00141267
org::eclipse::jdt::internal::core::util::ToStringSorter;0;76.074; 0.00462697 ; 0.0147746 ; 0.191561 ; 0.00932982
org::eclipse::jdt::internal::compiler::ast::DoubleLiteral;0;715.525; 0.00363483 ; 0.0122526 ; 0.175244 ; 0.00382225
org::eclipse::jdt::internal::compiler::util::HashtableOfIntValues;0;39.771; 0.00328111 ; 0.00585268 ; 0.0940532 ;7.57E+01
org::eclipse::jdt::internal::compiler::classfmt::FieldInfoWithAnnotation;0;376.811; 0.00838585 ; 0.00749207 ; 0.0949677 ; 0.0070203
org::eclipse::jdt::internal::compiler::ast::Clinit;2;154.387; 0.0333216 ; 0.160762 ;831.077; 0.23096
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword2;0;805.174; 0.00323157 ; 0.011483 ; 0.18908 ; 0.00128092
org::eclipse::jdt::core::compiler::CompilationProgress;0;0;0;0;0;0
org::eclipse::jdt::internal::core::dom::rewrite::ImportRewriteAnalyzer;1;707.936; 0.0314748 ; 0.071511 ; 0.314409 ; 0.143996
org::eclipse::jdt::internal::compiler::lookup::SyntheticMethodBinding;2;20.293; 0.0510307 ; 0.0468058 ; 0.524714 ; 0.0759883
org::eclipse::jdt::internal::core::dom::rewrite::NodeInfoStore;0;932.465; 0.00314705 ; 0.01318 ; 0.218545 ; 0.00130463
org::eclipse::jdt::core::dom::QualifiedName;0;636.941; 0.00308139 ; 0.151185 ;8.098; 0.231161
org::eclipse::jdt::core::dom::SuperConstructorInvocation;0;684.846; 0.00428194 ; 0.151789 ;810.896; 0.231177
org::eclipse::jdt::core::ClasspathVariableInitializer;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::core::ClassFile;0;295.302; 0.0696223 ; 0.209951 ;871.354; 0.358359
org::eclipse::jdt::internal::compiler::util::HashtableOfLong;0;39.771; 0.00256106 ; 0.00585268 ; 0.0940532 ;7.57E+01
org::eclipse::jdt::internal::compiler::codegen::BranchLabel;1;12.482; 0.046309 ; 0.150163 ;823.626; 0.224729
org::eclipse::jdt::internal::core::util::LocalVariableTypeTableEntry;0;407.501; 0.00220824 ; 0.0062193 ; 0.097153 ; 0.00103086
org::eclipse::jdt::internal::compiler::lookup::AnnotationHolder;0;295.593; 0.00136935 ; 0.00813519 ; 0.0818092 ; 0.0107397
org::eclipse::jdt::internal::compiler::ast::CompoundAssignment;0;137.206; 0.00583036 ; 0.0192905 ; 0.321334 ; 0.00169132
org::eclipse::jdt::core::search::TypeParameterReferenceMatch;0;329.051; 0.00128984 ; 0.00376279 ; 0.0735933 ;5.82E+00
org::eclipse::jdt::internal::core::ClasspathAccessRule;0;64.938; 0.00427977 ; 0.00897411 ; 0.151433 ;7.84E+01
org::eclipse::jdt::internal::core::CompilationUnit;2;309.896; 0.13539 ; 0.195781 ;871.141; 0.309577
org::eclipse::jdt::internal::core::search::matching::SuperTypeNamesCollector;0;938.026; 0.00474418 ; 0.139236 ;813.835; 0.209959
org::eclipse::jdt::internal::core::DocumentAdapter;0;170.656;9.79E+01; 0.00197306 ; 0.038262 ;3.31E+00
org::eclipse::jdt::internal::compiler::lookup::MethodVerifier;5;289.486; 0.214813 ; 0.0946313 ; 0.816568 ; 0.221816
org::eclipse::jdt::internal::core::jdom::DOMInitializer;0;754.777; 0.00374582 ; 0.0104576 ; 0.175967 ; 0.00113912
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocTypeParamReference;0;358.431;7.29E+00; 0.00533203 ; 0.0851721 ;4.82E+01
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedTypeReference;0;122.036; 0.0122442 ; 0.169321 ;826.101; 0.287587
org::eclipse::jdt::internal::compiler::ast::SingleMemberAnnotation;0;113.038; 0.00743631 ; 0.14634 ;819.167; 0.214531
